app_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,20,714080,834340,705800,530350,880470,416320,656530,939000,489000,403090,1155340,504460,457820,850950,873730,664890,529870,975220,407190
100,100,984820,562040,529950,746340,680620,860260,388520,730780,458970,253510,743350,975220,855030,688800,22610,671290,567890,451900,759850
1000030,504310,45740,730870,593210,608530,990900,889470,759800,615970,884440,24740,1103690,1091570,1082760,940350,286830,970910,568780,854330,515040
1000040,999990,444270,444520,444490,444480,444470,444440,444430,444420,444410,444350,444330,444320,444280,444260,444550,444250,444220,444210,444190
1000080,1146880,693790,208600,601250,1013700,878710,857600,1101270,610960,671980,915160,24480,759160,1137070,734090,990240,911220,735250,1166120,1084400
1000100,1000100,444260,444520,444490,444480,444470,444440,444430,444420,444410,444350,444330,444320,444280,444270,444250,444550,444220,444210,444190
1000110,457730,1146500,868230,855700,431250,1012120,961210,845700,1171440,1003320,861280,1175970,467370,1141070,1136710,1183590,1155270,498000,834180,1156590
1000130,769590,473560,454420,475520,751350,669740,1183480,715100,1085280,984870,754330,743190,505630,1153300,390680,794390,670370,527800,719550,429490
1001980,292630,944440,985710,600410,1087270,233290,289090,594950,1107210,1007390,1178680,844030,588690,294570,391380,1156000,936080,600330,705610,240720
1001990,843520,32420,438640,250540,29700,765730,485800,889730,46440,948460,739850,1107510,787150,568770,844490,431250,707450,978290,1160700,715280
1002,697320,593740,1002520,906240,423440,466110,1185580,707110,746340,462530,414120,957150,431770,431300,770320,569350,561190,1008070,898340,463540
1002020,498680,889460,387930,935980,675160,1165830,391030,437720,720940,1107580,746420,424000,683970,939190,655710,753990,1122150,522690,752020,969190
1002030,1161160,911270,1084400,932350,1117900,1123790,1143740,984720,877780,970000,1126290,1148010,845150,1156080,1101260,1142870,290260,1010490,1146250,1154170
1002040,400220,1009910,844760,1090540,1085080,497300,769540,996050,791180,703430,434500,433290,561740,679930,1144670,683890,22310,263360,431470,875100
1002100,1096240,588730,966450,1097860,1162630,498300,285070,836480,824880,1118930,1141880,1012030,434600,581810,473470,990850,428870,960550,743960,294680
1002440,910770,667000,413750,261470,688210,48950,889080,939210,282680,487030,984680,857710,397870,833690,791700,742990,850690,791400,412480,1120280
1002490,949630,663390,956780,388490,708760,658970,825310,1157790,708930,844090,282400,738540,1123550,658570,501120,577390,1091210,662400,24480,1116470
1002500,292670,666050,659780,433580,514650,420930,770690,1132900,656910,1120600,1168550,713170,1007970,999040,679400,569900,662600,496080,258643,589730
1002510,424200,1157910,1111270,292630,596540,1125420,853410,933210,664780,839420,465520,672100,979890,501760,948660,439750,294830,661260,1148960,257830
1002520,906240,898340,431300,561190,484990,844020,904990,722370,906250,869540,770320,869300,850710,1002,775850,885150,827050,886360,701930,855580
