user_id,0,1,2,3,4,5,6,7,8,9
76561197960265763,39210,388080,785170,586210,266410,567640,440520,10,45300,583010
76561197960271067,785170,39210,523120,1097420,689700,935270,266410,427520,573060,396650
76561197960274049,785170,266410,834910,39210,523120,1097420,567640,948740,586210,676500
76561197960276565,10,39210,388080,586210,583010,683900,567640,266410,658160,384300
76561197960302536,440520,952860,388080,785170,1147660,384300,441770,795630,288120,991780
76561197960355679,785170,418910,523120,1147660,39210,573060,984780,33650,935270,1085660
76561197960356058,39210,384300,408760,952860,11040,585410,1147660,440520,10,388080
76561197960385340,676500,39210,10,567640,413420,431730,22500,834910,1147660,292030
76561197960393868,384300,1147660,529240,785170,583010,428340,24980,418910,2800,251810
76561197960404691,388080,390560,583010,431730,6300,428340,24960,428180,384300,523120
76561197960422789,39210,991780,785170,1147660,440520,689580,492800,518060,251290,460430
76561197960442947,785170,1147660,384300,39210,523120,573060,2800,291930,935270,266410
76561197960459205,384300,1147660,22500,785170,952860,266410,440520,24980,676500,400800
76561197960481035,22500,676500,834910,785170,266410,863590,431730,218230,899770,1097420
76561197960532296,990050,785170,676500,440520,47890,33210,518060,6010,689580,292030
76561197960542713,266410,785170,384300,1147660,523120,658160,388080,834910,39210,428340
76561197960548296,676500,785170,764030,689580,292030,39210,418910,991780,266410,288120
76561197960552204,266410,785170,384300,1147660,388080,952860,834910,39210,523120,440520
76561197960554837,384300,879160,22500,497180,477770,621220,888790,431730,523120,1097420
76561197960558479,39210,388080,45300,583010,413420,831560,292030,440520,676500,620980
76561197960568027,39210,440520,785170,991780,689580,388080,935270,1147660,664430,460430
76561197960669313,785170,523120,39210,418910,1097420,658160,689700,935270,612020,266410
76561197960696489,239700,10,658160,388080,683900,266410,583010,39210,586210,795630
76561197960710212,266410,785170,39210,384300,1147660,388080,523120,834910,440520,585410
76561197960778495,384300,1147660,785170,583010,676500,523120,39210,428180,288120,22500
76561197960862517,39210,583010,388080,523120,1085660,658160,418910,495280,785170,664430
